u,v,r,th1,th2,th3,udot,vdot,rdot
0.018734009121,0.0190250507965,0.0507370420744,-0.236713015491,-0.0,-0.13158,-0.0234383224719,-6.58604105161e-05,0.00200809152435
0.014380792708,0.0190477075771,0.0517183250609,-1.17501548709,-0.885806206946,-0.13158,-0.025660316527,0.000755151683732,0.00714117475607
0.00822573754775,0.0183252251024,0.0540576883359,-3.50788894002,-2.87922386881,-0.13158,-0.0259958596753,-3.68751304329e-06,0.0128387521072
0.00182566222244,0.0180253422276,0.0576883447907,-5.78788091569,-4.89368583778,-0.13158,-0.0269378407904,-0.000456266399151,0.0188210129129
-0.00784721540326,0.0188231212122,0.062815220974,-8.06920681763,-6.88315109467,-0.13158,-0.0282545741354,0.00112629226614,0.0247348979706
-0.017592727523,0.018069466813,0.0691959210566,-10.303063398,-8.87932478711,-0.13158,-0.0291127844751,0.00105049237955,0.0276616214699
-0.0292912465885,0.0162740249876,0.0756837529838,-11.5524685974,-9.99955281085,-0.13158,-0.0316191107168,0.0015795478499,0.0270850187553
-0.0423450144206,0.0170674880134,0.0817963034873,-11.5256101999,-9.97402319792,-0.13158,-0.031781831418,0.0030923620313,0.0253989127697
-0.0546695276021,0.0159667080088,0.0875000090552,-11.4737984194,-9.97415618713,-0.13158,-0.0317887400076,0.00490840215476,0.0219619931143
-0.0683543396401,0.0161934160533,0.0920086302854,-11.369654771,-9.97389061171,-0.13158,-0.0320882147772,0.00597172725885,0.0157638794163
-0.0800265096753,0.0157452546379,0.0948302129838,-11.2643202012,-9.94717719238,-0.13158,-0.0311719487379,0.00613989658233,0.00976172061635
-0.0897491993725,0.0162372444232,0.0965470591799,-11.0272556072,-9.79064200365,-0.13158,-0.0308440310035,0.00796569675764,0.0113087019648
-0.0985783934148,0.0179278964063,0.10008797655,-10.9713067746,-8.92892427546,-0.13158,-0.0293746325462,0.0092614921145,0.00295203680888
-0.106491661155,0.0200500462834,0.0979189695248,-10.9976292788,-7.63879577904,-1.72081577239,-0.0271440556588,0.00814633541586,-0.0161271519709
-0.111960231362,0.0218681099456,0.0925880680367,-11.0264665515,-6.33946676684,-3.43827876846,-0.0252848388599,0.00755653976379,-0.0223491483966
-0.11702243481,0.0255475628733,0.0875258443283,-11.0034781893,-4.93894627074,-4.95698514967,-0.0204991973693,0.00703634238441,-0.0207859653603
-0.119820929455,0.0302624993114,0.0829225941441,-10.8187843948,-3.55012508842,-6.36077647018,-0.0142049263037,0.00711507141001,-0.0242623945225
-0.12126416619,0.0340417576883,0.0762438308753,-10.0301758539,-2.86868269958,-7.47685151606,-0.0110700887827,0.00673319343732,-0.0168543931668
-0.122007055222,0.0392152001574,0.0750878600647,-8.92341639503,-2.49947360964,-6.76423347147,-0.00665907162875,0.00476744131101,0.00245677178387
-0.120631284119,0.0426250981462,0.0773888271684,-7.70873260446,-2.07880909573,-5.71174200365,-0.00195308801405,0.004157090296,0.0116576300114
-0.120094768288,0.0466377237767,0.0805112684532,-6.23606942841,-1.68447279943,-4.70950900076,0.0017721651583,0.00451970518194,0.0135369398754
-0.11820038501,0.0492446839887,0.0836861016241,-4.73804536634,-1.31579391029,-3.55252751394,0.00677801908536,0.00314317235663,0.0136270738086
-0.114744284843,0.0510100478423,0.0868504165174,-3.16053957827,-0.816837099024,-2.39554988084,0.0112532537575,0.00229350149027,0.0134956806047
-0.111632794564,0.0514810152854,0.0899615931053,-1.76146514736,-0.446583292216,-1.31580594009,0.0164787612943,-0.000363310502243,0.0197186440929
-0.107473949599,0.0513224770006,0.0960195860206,-0.573567015046,0.313034600627,-0.209998948753,0.0212601034327,-0.00287861044323,0.0344782082666
-0.1029955084,0.0497211564382,0.106011521884,0.554858175831,1.12947003391,1.28605666082,0.026195467589,-0.0041918469984,0.0509245460244
-0.0980997144993,0.0470124345224,0.119717327272,1.68038672336,1.92172593962,2.73487892265,0.0312845455355,-0.00761645928529,0.0656572058621
-0.0926194680739,0.0441208513499,0.13656003932,2.75868628241,2.58355552238,4.15988979814,0.0353190148423,-0.010286312269,0.0788752089648
-0.0855542137091,0.0402414884756,0.15641212679,3.89565336398,3.34290829965,5.63488410228,0.0405590725782,-0.013706811405,0.0848016468478
-0.0779753141914,0.0354243873472,0.176010367039,5.39592526679,3.71027729981,6.97462019451,0.044064892373,-0.0173467382948,0.0826770706596
-0.067667169799,0.030436496857,0.194856964647,6.92092662289,3.99988810514,7.94830088526,0.0447011448756,-0.0200790089992,0.079059474089
-0.0559839347231,0.0250778710455,0.21277302249,8.41966690027,4.31566909513,8.84268410993,0.0469222119038,-0.0230378303521,0.0714470087038
-0.0438044605257,0.0190695356783,0.228089290449,9.65998110074,4.6056737046,9.55375178893,0.0486892630602,-0.0264472969573,0.0599310032768
-0.029460060328,0.0132067757805,0.240650548841,10.7407245569,4.92106089044,10.0288185838,0.049396456305,-0.0298566005727,0.046488776364
-0.0131729094767,0.00586795801852,0.249716229454,11.5816401878,5.21053910956,10.3700699843,0.0519810692838,-0.0322885774649,0.0300931585106
0.00299327170653,-0.00130697277847,0.254653477375,12.1059880053,5.5259262954,10.5527294056,0.0534275899987,-0.0331386780771,0.0159091941683
0.0191686155349,-0.00863941406381,0.257123471497,12.2903207863,5.81593090487,10.5786678041,0.0521593026979,-0.0338387960285,0.00981227491725
0.0363042843897,-0.0172378677696,0.259216185211,12.3691209945,6.13171189486,10.5788007933,0.0519315420734,-0.0357354454426,0.010870854919
0.0518888760666,-0.0264363645029,0.262178419034,12.4206678041,6.44737990045,10.6051992067,0.052598226695,-0.0379380515381,0.0165600896862
0.0675758334029,-0.0361452058398,0.266923654749,12.3941364015,6.7890855045,10.6314685974,0.0517480175908,-0.0393846711144,0.024338067189
0.0821857516261,-0.0465131971825,0.273502754323,12.420272803,7.13131730042,10.6318635985,0.0487033074708,-0.0412070246489,0.0309815106999
0.0950688521605,-0.056604882284,0.281337227029,12.4210628052,7.47394279973,10.6318635985,0.0480631981284,-0.043633212058,0.036745432174
0.106799681172,-0.0667340212238,0.290596514329,12.4474651851,7.8161942952,10.6053321959,0.0459143754201,-0.0433420616451,0.0414537559534
0.116905463067,-0.0781190084797,0.30062025138,12.5258054092,8.18395720027,10.5527294056,0.0422628704447,-0.0428994377758,0.046769854334
0.125153901909,-0.0889379560971,0.312344496594,12.5524668086,8.55211390948,10.5519423958,0.0389781296136,-0.0435763788202,0.0532537936586
0.132718189719,-0.100339973083,0.325383265432,12.5269903792,8.86883459505,10.5522054152,0.0320761457345,-0.0425983712258,0.0584177313093
0.138316423305,-0.112776775838,0.339521905031,12.5789982112,9.21106629021,10.5790017888,0.0256229551735,-0.0402579454972,0.0636572314024
0.144154758668,-0.12489725137,0.354997240351,12.604742604,9.57865670921,10.5797887986,0.0205992809436,-0.03904041547,0.0693155379931
0.148301947482,-0.135217774487,0.371767059494,12.5793321959,9.94645249973,10.6314685974,0.0161069646363,-0.0392505681326,0.0722673947522
0.152181273889,-0.145833522242,0.388614941228,12.6058635985,10.263413006,10.6051992067,0.0132793657689,-0.0406681252922,0.0749438692944
0.154198827652,-0.155664782642,0.406629122094,12.6058635985,10.631873786,10.5788007933,0.010760377045,-0.039224291023,0.0791030262729
0.15464538887,-0.165121414681,0.425397848445,12.6054685974,10.9738618097,10.5525314026,0.00553054028368,-0.036115263733,0.0809929078803
0.153615669896,-0.173109221951,0.444290824259,12.6053356082,11.3154069958,10.526198003,0.00195704685735,-0.0328493663612,0.0804408946701
0.152073148594,-0.180061577798,0.462817680703,12.5793321959,11.631469801,10.4475947929,0.00102484862394,-0.0246788225691,0.0798452055175
0.150250810581,-0.187383142612,0.481433884979,12.5793321959,11.947662603,10.3425262016,-0.000953833445718,-0.0204195685621,0.0751696040378
0.148512187796,-0.195445329068,0.497786662124,12.6053356082,12.2373259874,10.1064033918,-0.00194532541472,-0.0216629341088,0.0625020673521
0.146843042849,-0.199834670856,0.510512386453,12.5793321959,12.4742556072,9.71224848628,-0.00353532466305,-0.018991013028,0.0440018038625
0.142019258186,-0.204463441244,0.518262317156,12.5531957944,12.6059885904,9.13324859371,-0.00368981452606,-0.0132312167732,0.0212751911891
0.138555874572,-0.208040320656,0.520405350356,12.5526678041,12.6845947929,8.31735728945,-0.00301443210664,-0.00694059537882,-0.00549123938786
0.134810891885,-0.206834087035,0.515708890841,12.552272803,12.7365376112,7.31683179013,-0.000971153987375,-0.00380404103976,-0.0306666463313
0.131813588867,-0.206919292568,0.506131932996,12.5526678041,12.7628059943,6.34091720545,0.00318914544171,-0.000219702440339,-0.0482995588967
0.130723617854,-0.207720176985,0.493235966218,12.5793321959,12.7635930042,5.23644392331,0.00200690220628,0.00509106540201,-0.0594478145815
0.129345728921,-0.207064822197,0.47847500116,12.6058635985,12.8417391917,4.10618246706,0.00256306190007,0.00489906889832,-0.0655846839093
0.129943224292,-0.204956254018,0.462725458464,12.632,12.8685296138,2.89683724752,0.00553530715616,0.00771715703973,-0.0674356288845
